days,mean,sd
5,0.22,0.4146611722545904
6,0.36,0.4804807212021038
7,0.452,0.49818910543039685
8,0.582,0.49372414064344494
9,0.724,0.4474644666314808
10,0.834,0.37245327611093926
11,0.898,0.3029514137914469
12,0.944,0.23015199299541056
13,0.972,0.16513794561567105
14,0.986,0.11760809209681665
15,0.992,0.08917344788453135
16,0.996,0.06318214912406725
17,1,0
18,1,0
19,1,0
20,1,0
