placebo,mean,sd
10,0.92,0.27142894774447635
15,0.937,0.24308453280719053
20,0.928,0.2586172517116422
25,0.918,0.27450200609713465
30,0.92,0.27142894774447635
35,0.934,0.24840633185509925
40,0.949,0.22010780869257557
45,0.93,0.25527468571161765
50,0.921,0.26987373312686774
55,0.924,0.26513071171460745
60,0.915,0.2790212408632233
65,0.923,0.26672484350382913
70,0.943,0.2319586273558386
